Name,Decimal,Hexadecimal,Character,Code point,Description
Alpha,913,391,Α,U+0391,Greek capital letter Alpha
Beta,914,392,Β,U+0392,Greek capital letter Beta
Gamma,915,393,Γ,U+0393,Greek capital letter Gamma
Delta,916,394,Δ,U+0394,Greek capital letter Delta
Epsilon,917,395,Ε,U+0395,Greek capital letter Epsilon
Zeta,918,396,Ζ,U+0396,Greek capital letter Zeta
Eta,919,397,Η,U+0397,Greek capital letter Eta
Theta,920,398,Θ,U+0398,Greek capital letter Theta
Iota,921,399,Ι,U+0399,Greek capital letter Iota
Kappa,922,39A,Κ,U+039A,Greek capital letter Kappa
Lambda,923,39B,Λ,U+039B,Greek capital letter Lambda
Mu,924,39C,Μ,U+039C,Greek capital letter Mu
Nu,925,39D,Ν,U+039D,Greek capital letter Nu
Xi,926,39E,Ξ,U+039E,Greek capital letter Xi
Omicron,927,39F,Ο,U+039F,Greek capital letter Omicron
Pi,928,3A0,Π,U+03A0,Greek capital letter Pi
Rho,929,3A1,Ρ,U+03A1,Greek capital letter Rho
Sigma,931,3A3,Σ,U+03A3,Greek capital letter Sigma
Tau,932,3A4,Τ,U+03A4,Greek capital letter Tau
Upsilon,933,3A5,Υ,U+03A5,Greek capital letter Upsilon
Phi,934,3A6,Φ,U+03A6,Greek capital letter Phi
Chi,935,3A7,Χ,U+03A7,Greek capital letter Chi
Psi,936,3A8,Ψ,U+03A8,Greek capital letter Psi
Omega,937,3A9,Ω,U+03A9,Greek capital letter Omega
alpha,945,3B1,α,U+03B1,Greek small letter alpha
beta,946,3B2,β,U+03B2,Greek small letter beta
gamma,947,3B3,γ,U+03B3,Greek small letter gamma
delta,948,3B4,δ,U+03B4,Greek small letter delta
epsilon,949,3B5,ε,U+03B5,Greek small letter epsilon
zeta,950,3B6,ζ,U+03B6,Greek small letter zeta
eta,951,3B7,η,U+03B7,Greek small letter eta
theta,952,3B8,θ,U+03B8,Greek small letter theta
iota,953,3B9,ι,U+03B9,Greek small letter iota
kappa,954,3BA,κ,U+03BA,Greek small letter kappa
lambda,955,3BB,λ,U+03BB,Greek small letter lambda
mu,956,3BC,μ,U+03BC,Greek small letter mu
nu,957,3BD,ν,U+03BD,Greek small letter nu
xi,958,3BE,ξ,U+03BE,Greek small letter xi
omicron,959,3BF,ο,U+03BF,Greek small letter omicron
pi,960,3C0,π,U+03C0,Greek small letter pi
rho,961,3C1,ρ,U+03C1,Greek small letter rho
sigmaf,962,3C2,ς,U+03C2,Greek small letter final sigma
sigma,963,3C3,σ,U+03C3,Greek small letter sigma
tau,964,3C4,τ,U+03C4,Greek small letter tau
upsilon,965,3C5,υ,U+03C5,Greek small letter upsilon
phi,966,3C6,φ,U+03C6,Greek small letter phi
chi,967,3C7,χ,U+03C7,Greek small letter chi
psi,968,3C8,ψ,U+03C8,Greek small letter psi
omega,969,3C9,ω,U+03C9,Greek small letter omega
thetasym,977,3D1,ϑ,U+03D1,Greek theta symbol
upsih,978,3D2,ϒ,U+03D2,Greek Upsilon with hook symbol
piv,982,3D6,ϖ,U+03D6,Greek pi symbol
ensp,8194,2002, ,U+2002,en space
emsp,8195,2003, ,U+2003,em space
thinsp,8201,2009, ,U+2009,thin space
lrm,8206,200E, ,U+200E,left-to-right mark
rlm,8207,200F, ,U+200F,right-to-left mark
ndash,8211,2013,–,U+2013,en dash
mdash,8212,2014,—,U+2014,em dash
lsquo,8216,2018,‘,U+2018,left single quotation mark
rsquo,8217,2019,’,U+2019,right single quotation mark
sbquo,8218,201A,‚,U+201A,single low-9 quotation mark
ldquo,8220,201C,“,U+201C,left double quotation mark
rdquo,8221,201D,”,U+201D,right double quotation mark
bdquo,8222,201E,„,U+201E,double low-9 quotation mark
dagger,8224,2020,†,U+2020,"dagger, obelisk"
Dagger,8225,2021,‡,U+2021,"double dagger, double obelisk"
bull,8226,2022,•,U+2022,bullet 
hellip,8230,2026,…,U+2026,horizontal ellipsis 
permil,8240,2030,‰,U+2030,per mille sign
prime,8242,2032,′,U+2032,prime 
Prime,8243,2033,″,U+2033,double prime 
lsaquo,8249,2039,‹,U+2039,single left-pointing angle quotation mark
rsaquo,8250,203A,›,U+203A,single right-pointing angle quotation mark
oline,8254,203E,‾,U+203E,overline 
frasl,8260,2044,⁄,U+2044,fraction slash 
euro,8364,20AC,€,U+20AC,euro sign
image,8465,2111,ℑ,U+2111,black-letter capital I 
weierp,8472,2118,℘,U+2118,script capital P 
real,8476,211C,ℜ,U+211C,black-letter capital R 
trade,8482,2122,™,U+2122,trademark symbol
alefsym,8501,2135,ℵ,U+2135,alef symbol 
larr,8592,2190,←,U+2190,leftwards arrow
uarr,8593,2191,↑,U+2191,upwards arrow
rarr,8594,2192,→,U+2192,rightwards arrow
darr,8595,2193,↓,U+2193,downwards arrow
harr,8596,2194,↔,U+2194,left right arrow
crarr,8629,21B5,↵,U+21B5,downwards arrow with corner leftwards 
lArr,8656,21D0,⇐,U+21D0,leftwards double arrow
uArr,8657,21D1,⇑,U+21D1,upwards double arrow
rArr,8658,21D2,⇒,U+21D2,rightwards double arrow
dArr,8659,21D3,⇓,U+21D3,downwards double arrow
hArr,8660,21D4,⇔,U+21D4,left right double arrow
forall,8704,2200,∀,U+2200,for all
part,8706,2202,∂,U+2202,partial differential
exist,8707,2203,∃,U+2203,there exists
empty,8709,2205,∅,U+2205,empty set 
nabla,8711,2207,∇,U+2207,del or nabla 
isin,8712,2208,∈,U+2208,element of
notin,8713,2209,∉,U+2209,not an element of
ni,8715,220B,∋,U+220B,contains as member
prod,8719,220F,∏,U+220F,n-ary product 
sum,8721,2211,∑,U+2211,n-ary summation
minus,8722,2212,−,U+2212,minus sign
lowast,8727,2217,∗,U+2217,asterisk operator
radic,8730,221A,√,U+221A,square root 
prop,8733,221D,∝,U+221D,proportional to
infin,8734,221E,∞,U+221E,infinity
ang,8736,2220,∠,U+2220,angle
and,8743,2227,∧,U+2227,logical and 
or,8744,2228,∨,U+2228,logical or 
cap,8745,2229,∩,U+2229,intersection 
cup,8746,222A,∪,U+222A,union 
int,8747,222B,∫,U+222B,integral
there4,8756,2234,∴,U+2234,therefore sign
sim,8764,223C,∼,U+223C,tilde operator 
cong,8773,2245,≅,U+2245,congruent to
asymp,8776,2248,≈,U+2248,almost equal to 
ne,8800,2260,≠,U+2260,not equal to
equiv,8801,2261,≡,U+2261,identical to; sometimes used for 'equivalent to'
le,8804,2264,≤,U+2264,less-than or equal to
ge,8805,2265,≥,U+2265,greater-than or equal to
sub,8834,2282,⊂,U+2282,subset of
sup,8835,2283,⊃,U+2283,superset of
nsub,8836,2284,⊄,U+2284,not a subset of
sube,8838,2286,⊆,U+2286,subset of or equal to
supe,8839,2287,⊇,U+2287,superset of or equal to
oplus,8853,2295,⊕,U+2295,circled plus 
otimes,8855,2297,⊗,U+2297,circled times 
perp,8869,22A5,⊥,U+22A5,up tack 
